CS101,IT101,MA104,NT111,CS102,IT210,CS115,NT112,IT331,SE201,IT350,NT213,CS230,IT370,CS220,CS323,IT255,CS225,IT335,CS324,SE325,IT355,IT381,IT376,CS322,SE401,OM350,CS232,NT213
Uvod u objektno-orijentisano programiranje,Osnove informacionih tehnologija,Matematika,Engleski 1,Objekti i apstrakcija podataka,Sistemi informacionih tehnologija,Diskretne strukture,Engleski 2,Računarske mreže i komunikacij,Uvod u softversko inženjerstvo,Baze podataka,Engleski za informatičare,Distribuirаni sistеmi,Interakcija čovek-računar,Arhitektura računara,C/C++ programski jezik,Veb sistemi 1,Operativni sistemi,Administracija računarskih sistema i mreža,Skripting jezici,Upravljanje projektima razvoja softvera,Veb sistemi 2,Zaštita i bezbednost informacija,Robotika,C# Programski jezik,Timski razvoj softvera,Preduzetništvo,Programiranje 2D igara,Engleski za informatičare
