x,g,h
0.0,1.0,0.0
0.008,0.9958805030410981,0.03161289889887874
0.016,0.9915240378377205,0.0624396395857945
0.024,0.9869336727775837,0.09246329170599653
0.032,0.9821125151647492,0.12166825314673996
0.04,0.9770637100677375,0.15004023654354434
0.048,0.971790439166592,0.17756625458924924
0.056,0.9662959195992104,0.20423460419121112
0.064,0.9605834028072617,0.23003484952223907
0.07200000000000001,0.954656173382008,0.25495780401106233
0.08,0.9485175479103403,0.27899551131826134
0.088,0.9421708738213427,0.30214122534367427
0.096,0.935619528233691,0.32438938931131717
0.10400000000000001,0.9288669168041929,0.34573561397783154
0.112,0.9219164725777711,0.3661766550103892
0.12,0.9147716548391904,0.3857103895798573
0.128,0.9074359479668266,0.4043357922148431
0.136,0.899912860288769,0.4220529099620107
0.14400000000000002,0.8922059229415512,0.4388628368977854
0.152,0.8843186887317945,0.45476768803624046
0.16,0.8762547310010534,0.46977057267759487
0.168,0.8680176424941417,0.4838755672413427
0.176,0.8596110342312191,0.4970876876275873
0.184,0.8510385343839156,0.5094128611496608
0.192,0.8423037871557629,0.5208578980805866
0.2,0.833410451667205,0.5314304628553771
0.20800000000000002,0.8243622008454501,0.5411390449705596
0.216,0.8151627203194303,0.5499929296216922
0.224,0.8058157073201228,0.558002168118967
0.232,0.7963248695864926,0.565177548120303
0.24,0.7866939242773041,0.5715305637206065
0.248,0.7769265968890535,0.5770733854351291
0.256,0.7670266201802624,0.5818188301140685
0.264,0.7569977331023771,0.5857803308247657
0.272,0.7468436797375078,0.58897190673702
0.28,0.7365682082432428,0.591408133046199
0.28800000000000003,0.7261750698047653,0.5931041109679581
0.296,0.7156680175945016,0.5940754378374938
0.304,0.7050508057395175,0.59433817734536
0.312,0.694327188296888,0.5939088299409525
0.32,0.683500918237246,0.5928043034338445
0.328,0.6725757464367277,0.591041883822201
0.336,0.6615554206775165,0.5886392063765541
0.34400000000000003,0.6504436846571884,0.5856142270062531
0.352,0.6392442770070585,0.5819851939349251
0.36,0.6279609303197209,0.5777706197103077
0.368,0.6165973701859746,0.5729892535728224
0.376,0.6051573142413181,0.5676600542062681
0.384,0.5936444712221993,0.5618021628930187
0.392,0.5820625400321934,0.5554348770951111
0.4,0.5704152088182873,0.5485776244816093
0.40800000000000003,0.558706154057438,0.5412499374216349
0.41600000000000004,0.5469390396535695,0.5334714279614544
0.424,0.5351175160451739,0.5252617633030232
0.432,0.5232452193236677,0.5166406418003862
0.44,0.5113257703626624,0.5076277694893616
0.448,0.49936277395829454,0.4982428371649396
0.456,0.4873598179807619,0.4885054980198619
0.464,0.475320472537205,0.47843534585688025
0.47200000000000003,0.4632482891460717,0.46805189388622986
0.48,0.45114679992309614,0.4573745541189081
0.488,0.4390195167790191,0.44642261736540917
0.496,0.42686993062917744,0.4352152338486386
0.504,0.41470151061507626,0.4237713944388135
0.512,0.40251770333806475,0.412109912517255
0.52,0.39032193210522304,0.40024940647508606
